"Data Cache: Reflectometry Data"
"Start logging at 11/05/2024 15:07:17"
"Current index value = 1978"
Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.658873975	0.300606	0.321024	0	0	15:48:49.190	
0.658885837	0.300606	0.284809	0	0	15:48:50.201	
0.65889746	0.300606	0.2812	0	0	15:48:51.215	
0.658909023	0.269009	0.29327	0	0	15:48:52.230	
0.658920765	0.159398	0.333276	0	0	15:48:53.232	
0.658932149	0.113285	0.358357	0	0	15:48:54.248	
0.658943892	0.0913749	0.363258	0	0	15:48:55.253	
0.658955514	0.120065	0.363258	0	0	15:48:56.263	
0.658967257	0.196889	0.363258	0	0	15:48:57.278	
0.658978999	0.277035	0.363258	0	0	15:48:58.289	
0.658990562	0.314305	0.3626	0	0	15:48:59.297	
0.659002304	0.319078	0.352755	0	0	15:49:00.306	
0.659013987	0.319078	0.315563	0	0	15:49:01.317	
0.659025848	0.319078	0.277854	0	0	15:49:02.332	
0.659037292	0.317735	0.280149	0	0	15:49:03.344	
0.659049153	0.2765	0.294938	0	0	15:49:04.344	
0.659060717	0.169411	0.334958	0	0	15:49:05.345	
0.659072518	0.107348	0.355961	0	0	15:49:06.356	
0.659084141	0.0887552	0.359477	0	0	15:49:07.370	
0.659096003	0.119701	0.359477	0	0	15:49:08.370	
0.659107625	0.18428	0.359477	0	0	15:49:09.380	
0.659119546	0.261891	0.359477	0	0	15:49:10.396	
0.659130991	0.303922	0.358973	0	0	15:49:11.408	
0.659142852	0.309326	0.345054	0	0	15:49:12.421	
0.659154475	0.309326	0.310438	0	0	15:49:13.427	
0.659166336	0.309326	0.277528	0	0	15:49:14.430	
0.659177899	0.305436	0.277881	0	0	15:49:15.442	
0.659189701	0.260935	0.296525	0	0	15:49:16.457	
0.659201145	0.138319	0.335574	0	0	15:49:17.471	
0.659213006	0.0993933	0.353673	0	0	15:49:18.472	
0.659224629	0.0872178	0.356256	0	0	15:49:19.487	
0.659236491	0.130715	0.356256	0	0	15:49:20.495	
0.659248173	0.213204	0.356256	0	0	15:49:21.492	
0.659260035	0.280949	0.356256	0	0	15:49:22.500	
0.659271479	0.309176	0.354464	0	0	15:49:23.510	
0.65928334	0.310817	0.335594	0	0	15:49:24.512	
0.659295142	0.310817	0.296572	0	0	15:49:25.522	
0.659306586	0.310817	0.268765	0	0	15:49:26.530	
0.659318447	0.307796	0.276547	0	0	15:49:27.542	
0.659329891	0.258924	0.297513	0	0	15:49:28.553	
0.659341753	0.135648	0.334536	0	0	15:49:29.554	
0.659353375	0.0957882	0.350291	0	0	15:49:30.566	
0.659365118	0.084338	0.352195	0	0	15:49:31.579	
0.65937674	0.128498	0.352195	0	0	15:49:32.595	
0.659388602	0.194607	0.352195	0	0	15:49:33.605	
0.659400284	0.260267	0.352195	0	0	15:49:34.605	
0.659412146	0.293034	0.349986	0	0	15:49:35.608	
0.659423769	0.293034	0.32951	0	0	15:49:36.616	
0.65943563	0.293034	0.293398	0	0	15:49:37.616	
0.659447253	0.293034	0.266454	0	0	15:49:38.627	
0.659459174	0.283626	0.272813	0	0	15:49:39.638	
0.659470618	0.209533	0.298984	0	0	15:49:40.646	
0.659482479	0.122301	0.334707	0	0	15:49:41.649	
0.659493923	0.0907286	0.346804	0	0	15:49:42.663	
0.659505785	0.0886468	0.347574	0	0	15:49:43.675	
0.659517229	0.145799	0.347574	0	0	15:49:44.690	
0.65952915	0.234368	0.347574	0	0	15:49:45.691	
0.659540713	0.291988	0.347574	0	0	15:49:46.704	
0.659552336	0.310243	0.343331	0	0	15:49:47.712	
0.659564197	0.310243	0.318915	0	0	15:49:48.727	
0.65957582	0.310243	0.276187	0	0	15:49:49.732	
0.659587562	0.310243	0.264583	0	0	15:49:50.733	
0.659598947	0.298552	0.277055	0	0	15:49:51.734	
0.659610689	0.213627	0.304616	0	0	15:49:52.748	
