"Data Cache: Temp PI Data"
"Start logging at 11/05/2024 15:07:26"
"Current index value = 1987"
Day Fraction	Raw Ratio	Ratio Temp	Emiss Temp	Err Ratio Temp	Err Emiss Temp	Time	
0.633154929	1.09083	599.798	587.701	0	0	15:11:47.210	
0.63316685	1.08619	601.465	588.338	0	0	15:11:48.222	
0.633178413	1.08356	602.477	588.743	0	0	15:11:49.227	
0.633189976	1.08166	603.206	589.145	0	0	15:11:50.241	
0.633201718	1.08167	603.203	589.896	0	0	15:11:51.249	
0.633213341	1.08127	603.357	590.534	0	0	15:11:52.249	
0.633225262	1.09075	599.817	591.394	0	0	15:11:53.259	
0.633236706	1.0986	597.893	591.926	0	0	15:11:54.271	
0.633248568	1.1112	594.806	591.694	0	0	15:11:55.278	
0.633260012	1.11798	593.144	591.006	0	0	15:11:56.293	
0.633271873	1.13407	589.203	591.078	0	0	15:11:57.304	
0.633283496	1.13593	588.748	591.462	0	0	15:11:58.310	
0.633295238	1.13865	588.082	591.639	0	0	15:11:59.321	
0.633306801	1.13527	588.909	591.455	0	0	15:12:00.334	
0.633318543	1.1312	589.906	592.106	0	0	15:12:01.346	
0.633330107	1.12827	590.624	592.465	0	0	15:12:02.360	
0.63334173	1.12148	592.288	592.538	0	0	15:12:03.370	
0.633353651	1.10975	595.162	593.591	0	0	15:12:04.381	
0.633365214	1.10683	595.876	593.868	0	0	15:12:05.394	
0.633376956	1.10245	596.95	593.827	0	0	15:12:06.403	
0.633388579	1.10114	597.271	593.946	0	0	15:12:07.416	
0.6334005	1.10213	597.029	593.974	0	0	15:12:08.412	
0.633411944	1.11207	594.593	594.006	0	0	15:12:09.425	
0.633423805	1.12064	592.492	593.787	0	0	15:12:10.439	
0.633435428	1.12828	590.622	594.102	0	0	15:12:11.450	
0.633447289	1.12775	590.752	592.548	0	0	15:12:12.463	
0.633458912	1.13654	588.598	592.662	0	0	15:12:13.473	
0.633470654	1.12962	590.294	592.786	0	0	15:12:14.484	
0.633482277	1.13373	589.287	590.574	0	0	15:12:15.497	
0.633494139	1.13228	589.641	590.185	0	0	15:12:16.512	
0.633505702	1.13556	588.839	590.417	0	0	15:12:17.512	
0.633517504	1.12893	590.462	589.544	0	0	15:12:18.525	
0.633529067	1.12253	592.031	589.651	0	0	15:12:19.534	
0.633540511	1.10783	595.631	589.657	0	0	15:12:20.534	
0.633552372	1.09407	599.003	588.826	0	0	15:12:21.539	
0.633563995	1.08574	601.638	588.32	0	0	15:12:22.554	
0.633575737	1.07345	606.367	587.859	0	0	15:12:23.568	
0.63358736	1.06829	608.351	587.085	0	0	15:12:24.582	
0.633599222	1.06222	610.684	586.925	0	0	15:12:25.594	
0.633610845	1.04645	616.75	586.758	0	0	15:12:26.607	
0.633622706	1.02837	623.704	586.958	0	0	15:12:27.617	
0.633634388	1.02091	626.572	587.573	0	0	15:12:28.627	
0.63364625	1.01571	628.573	587.943	0	0	15:12:29.639	
0.633657694	1.01322	629.529	587.83	0	0	15:12:30.641	
0.633669555	1.02196	626.17	588.287	0	0	15:12:31.650	
0.633681059	1.02884	623.524	588.514	0	0	15:12:32.663	
0.63369292	1.03761	620.15	588.394	0	0	15:12:33.678	
0.633704364	1.06436	609.862	588.253	0	0	15:12:34.692	
0.633716226	1.07914	604.177	587.823	0	0	15:12:35.706	
0.633727849	1.09293	599.283	587.904	0	0	15:12:36.713	
0.63373971	1.10627	596.014	588.057	0	0	15:12:37.713	
0.633751392	1.11107	594.837	587.612	0	0	15:12:38.723	
0.633763254	1.11326	594.302	587.404	0	0	15:12:39.734	
0.633774698	1.11396	594.13	587.67	0	0	15:12:40.741	
0.633786559	1.10896	595.356	587.622	0	0	15:12:41.749	
0.633798122	1.11256	594.473	587.79	0	0	15:12:42.751	
0.633809745	1.11782	593.184	587.832	0	0	15:12:43.762	
0.633821487	1.11476	593.934	587.348	0	0	15:12:44.775	
0.63383311	1.10862	595.437	587.453	0	0	15:12:45.789	
0.633844972	1.10138	597.211	588.4	0	0	15:12:46.795	
0.633856475	1.08768	600.891	589.022	0	0	15:12:47.809	
0.633868337	1.08202	603.07	589.569	0	0	15:12:48.809	
0.6338799	1.08062	603.606	590.023	0	0	15:12:49.813	
0.633891642	1.08275	602.789	590.878	0	0	15:12:50.826	
0.633903086	1.08041	603.69	591.665	0	0	15:12:51.840	
0.633915007	1.08703	601.141	592.386	0	0	15:12:52.851	
0.63392657	1.09527	598.71	593.245	0	0	15:12:53.865	
0.633938313	1.10053	597.419	592.905	0	0	15:12:54.876	
0.633949935	1.11221	594.558	592.939	0	0	15:12:55.887	
0.633961797	1.12086	592.44	591.978	0	0	15:12:56.899	
0.633973598	1.14204	587.249	591.941	0	0	15:12:57.910	
